Location,matched_trip_zone,PULocationID,match_score,Location,TimeFrame,DataFormat,Data,Fips,PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
zip code 11369,,264,,zip code 11369,2015,Number,39001.0,11369,264,Unknown,,16865242,2382,11929,787156
zip code 11370,,264,,zip code 11370,2015,Number,35507.0,11370,264,Unknown,,16865242,2382,11929,787156
zip code 11371,,264,,zip code 11371,2015,Number,0.0,11371,264,Unknown,,16865242,2382,11929,787156
zip code 11372,,264,,zip code 11372,2015,Number,64754.0,11372,264,Unknown,,16865242,2382,11929,787156
zip code 11373,,264,,zip code 11373,2015,Number,98554.0,11373,264,Unknown,,16865242,2382,11929,787156
zip code 11374,,264,,zip code 11374,2015,Number,43399.0,11374,264,Unknown,,16865242,2382,11929,787156
zip code 11375,,264,,zip code 11375,2015,Number,70723.0,11375,264,Unknown,,16865242,2382,11929,787156
zip code 11377,,264,,zip code 11377,2015,Number,90615.0,11377,264,Unknown,,16865242,2382,11929,787156
zip code 11378,,264,,zip code 11378,2015,Number,31756.0,11378,264,Unknown,,16865242,2382,11929,787156
zip code 11379,,264,,zip code 11379,2015,Number,35476.0,11379,264,Unknown,,16865242,2382,11929,787156
zip code 11385,,264,,zip code 11385,2015,Number,102209.0,11385,264,Unknown,,16865242,2382,11929,787156
zip code 11411,,264,,zip code 11411,2015,Number,19208.0,11411,264,Unknown,,16865242,2382,11929,787156
zip code 11412,,264,,zip code 11412,2015,Number,37832.0,11412,264,Unknown,,16865242,2382,11929,787156
zip code 11413,,264,,zip code 11413,2015,Number,42560.0,11413,264,Unknown,,16865242,2382,11929,787156
zip code 11414,,264,,zip code 11414,2015,Number,28700.0,11414,264,Unknown,,16865242,2382,11929,787156
zip code 11415,,264,,zip code 11415,2015,Number,19403.0,11415,264,Unknown,,16865242,2382,11929,787156
zip code 11416,,264,,zip code 11416,2015,Number,26625.0,11416,264,Unknown,,16865242,2382,11929,787156
zip code 11417,,264,,zip code 11417,2015,Number,32415.0,11417,264,Unknown,,16865242,2382,11929,787156
zip code 11418,,264,,zip code 11418,2015,Number,39308.0,11418,264,Unknown,,16865242,2382,11929,787156
zip code 11419,,264,,zip code 11419,2015,Number,49306.0,11419,264,Unknown,,16865242,2382,11929,787156
zip code 11420,,264,,zip code 11420,2015,Number,50820.0,11420,264,Unknown,,16865242,2382,11929,787156
zip code 11421,,264,,zip code 11421,2015,Number,43024.0,11421,264,Unknown,,16865242,2382,11929,787156
zip code 11422,,264,,zip code 11422,2015,Number,33245.0,11422,264,Unknown,,16865242,2382,11929,787156
zip code 11423,,264,,zip code 11423,2015,Number,31982.0,11423,264,Unknown,,16865242,2382,11929,787156
zip code 11426,,264,,zip code 11426,2015,Number,19842.0,11426,264,Unknown,,16865242,2382,11929,787156
zip code 11427,,264,,zip code 11427,2015,Number,23568.0,11427,264,Unknown,,16865242,2382,11929,787156
zip code 11428,,264,,zip code 11428,2015,Number,19744.0,11428,264,Unknown,,16865242,2382,11929,787156
zip code 11429,,264,,zip code 11429,2015,Number,26362.0,11429,264,Unknown,,16865242,2382,11929,787156
zip code 11430,,264,,zip code 11430,2015,Number,186.0,11430,264,Unknown,,16865242,2382,11929,787156
zip code 11432,,264,,zip code 11432,2015,Number,63533.0,11432,264,Unknown,,16865242,2382,11929,787156
zip code 11433,,264,,zip code 11433,2015,Number,34111.0,11433,264,Unknown,,16865242,2382,11929,787156
zip code 11434,,264,,zip code 11434,2015,Number,65892.0,11434,264,Unknown,,16865242,2382,11929,787156
zip code 11435,,264,,zip code 11435,2015,Number,55323.0,11435,264,Unknown,,16865242,2382,11929,787156
zip code 11436,,264,,zip code 11436,2015,Number,19425.0,11436,264,Unknown,,16865242,2382,11929,787156
zip code 11691,,264,,zip code 11691,2015,Number,63989.0,11691,264,Unknown,,16865242,2382,11929,787156
zip code 11692,,264,,zip code 11692,2015,Number,18955.0,11692,264,Unknown,,16865242,2382,11929,787156
zip code 11693,,264,,zip code 11693,2015,Number,11194.0,11693,264,Unknown,,16865242,2382,11929,787156
zip code 11694,,264,,zip code 11694,2015,Number,20773.0,11694,264,Unknown,,16865242,2382,11929,787156
zip code 11697,,264,,zip code 11697,2015,Number,4006.0,11697,264,Unknown,,16865242,2382,11929,787156
battery park/tribeca,battery park,12,90.0,battery park/tribeca,2016,Number,61736.452,101,12,Manhattan,battery park,4256,39074,22,37004
greenwich village,greenwich village north,113,95.0,greenwich village,2016,Number,91076.548,102,113,Manhattan,greenwich village north,156572,1727813,250,1278135
lower east side,lower east side,148,100.0,lower east side,2016,Number,159296.0,103,148,Manhattan,lower east side,248540,2718879,191,1034964
chelsea/clinton,west chelsea/hudson yards,246,86.0,chelsea/clinton,2016,Number,93404.502,104,246,Manhattan,west chelsea/hudson yards,243906,2552153,160,1384492
midtown business district,garment district,100,86.0,midtown business district,2016,Number,46842.498,105,100,Manhattan,garment district,176155,1535202,298,1727069
murray hill/stuyvesant,murray hill,170,90.0,murray hill/stuyvesant,2016,Number,141162.0,106,170,Manhattan,murray hill,261846,2596247,946,2607781
upper west side,upper west side north,238,95.0,upper west side,2016,Number,189492.0,107,238,Manhattan,upper west side north,169896,1552500,868,1665383
upper east side,upper east side north,236,95.0,upper east side,2016,Number,219004.0,108,236,Manhattan,upper east side north,203313,1955678,13392,3293443
manhattanville,manhattanville,152,100.0,manhattanville,2016,Number,125195.0,109,152,Manhattan,manhattanville,57572,557132,45774,83986
central harlem,central harlem,41,100.0,central harlem,2016,Number,143487.0,110,41,Manhattan,central harlem,148752,1585162,341774,322815
east harlem,east harlem north,74,90.0,east harlem,2016,Number,134279.0,111,74,Manhattan,east harlem north,165358,1694788,468595,328911
washington heights,washington heights north,243,95.0,washington heights,2016,Number,238759.0,112,243,Manhattan,washington heights north,117614,1286964,32739,16243
mott haven,mott haven/port morris,168,90.0,mott haven,2016,Number,105915.264,201,168,Bronx,mott haven/port morris,128468,1184906,23668,20186
hunts point,hunts point,126,100.0,hunts point,2016,Number,60356.736,202,126,Bronx,hunts point,54238,608626,7476,2454
morrisania,morrisania/melrose,167,90.0,morrisania,2016,Number,85447.86,203,167,Bronx,morrisania/melrose,89706,802828,12192,4256
concourse/highbridge,highbridge,119,90.0,concourse/highbridge,2016,Number,151835.0,204,119,Bronx,highbridge,83119,808319,12303,5157
university heights,university heights/morris heights,235,90.0,university heights,2016,Number,135115.0,205,235,Bronx,university heights/morris heights,105557,1064266,15893,6377
east tremont,east tremont,78,100.0,east tremont,2016,Number,89292.14,206,78,Bronx,east tremont,94899,884432,12885,4295
bedford park,bedford park,18,100.0,bedford park,2016,Number,138899.0,207,18,Bronx,bedford park,100294,1024049,12673,3318
riverdale,riverdale/north riverdale/fieldston,200,90.0,riverdale,2016,Number,108865.0,208,200,Bronx,riverdale/north riverdale/fieldston,36980,391415,6126,2838
unionport/soundview,westchester village/unionport,250,86.0,unionport/soundview,2016,Number,193240.0,209,250,Bronx,westchester village/unionport,45609,484119,10913,3750
throgs neck,,264,,throgs neck,2016,Number,111431.0,210,264,Unknown,,16865242,2382,11929,787156
pelham parkway,pelham parkway,185,100.0,pelham parkway,2016,Number,124632.0,211,185,Bronx,pelham parkway,65054,619082,10120,2753
williamsbridge,williamsbridge/olinville,254,90.0,williamsbridge,2016,Number,150691.0,212,254,Bronx,williamsbridge/olinville,95198,920037,16772,5804
williamsburg/greenpoint,greenpoint,112,90.0,williamsburg/greenpoint,2016,Number,166361.0,301,112,Brooklyn,greenpoint,168721,2001180,32694,24855
fort greene/brooklyn hts,fort greene,97,90.0,fort greene/brooklyn hts,2016,Number,143328.0,302,97,Brooklyn,fort greene,152662,1653143,168486,68402
bedford stuyvesant,bedford,17,90.0,bedford stuyvesant,2016,Number,148237.0,303,17,Brooklyn,bedford,187134,2071716,41662,16853
bushwick,bushwick north,36,90.0,bushwick,2016,Number,139306.0,304,36,Brooklyn,bushwick north,200579,1950479,15110,7955
east new york,east new york,76,100.0,east new york,2016,Number,160769.0,305,76,Brooklyn,east new york,178985,2093773,41656,19623
park slope,park slope,181,100.0,park slope,2016,Number,114007.0,306,181,Brooklyn,park slope,235912,2407999,117060,68533
sunset park,sunset park east,227,95.0,sunset park,2016,Number,149399.0,307,227,Brooklyn,sunset park east,58310,497088,6776,3211
crown heights north,crown heights north,61,100.0,crown heights north,2016,Number,134788.0,308,61,Brooklyn,crown heights north,321523,3357869,66409,25251
crown heights south,crown heights south,62,100.0,crown heights south,2016,Number,110382.0,309,62,Brooklyn,crown heights south,85765,887772,17999,7912
bay ridge,bay ridge,14,100.0,bay ridge,2016,Number,118804.0,310,14,Brooklyn,bay ridge,106173,1176998,20438,9025
bensonhurst,bensonhurst east,21,95.0,bensonhurst,2016,Number,189426.0,311,21,Brooklyn,bensonhurst east,57899,555697,8927,3691
borough park,borough park,26,100.0,borough park,2016,Number,151250.0,312,26,Brooklyn,borough park,102890,1065609,15046,7173
coney island,coney island,55,100.0,coney island,2016,Number,116847.0,313,55,Brooklyn,coney island,47213,440761,26044,4074
flatbush/midwood,midwood,165,90.0,flatbush/midwood,2016,Number,163620.0,314,165,Brooklyn,midwood,69800,668288,14738,6510
sheepshead bay,sheepshead bay,210,100.0,sheepshead bay,2016,Number,159017.0,315,210,Brooklyn,sheepshead bay,67583,682463,30733,5291
brownsville,brownsville,35,100.0,brownsville,2016,Number,109658.0,316,35,Brooklyn,brownsville,114400,1281724,26012,10946
east flatbush,east flatbush/farragut,71,90.0,east flatbush,2016,Number,145860.0,317,71,Brooklyn,east flatbush/farragut,86477,922965,18237,7665
canarsie,canarsie,39,100.0,canarsie,2016,Number,208091.0,318,39,Brooklyn,canarsie,146173,1610372,26058,11762
astoria,astoria,7,100.0,astoria,2016,Number,171988.0,401,7,Queens,astoria,268194,2284990,250356,119932
sunnyside/woodside,sunnyside,226,90.0,sunnyside/woodside,2016,Number,135767.0,402,226,Queens,sunnyside,134177,1345587,44931,124512
jackson heights,jackson heights,129,100.0,jackson heights,2016,Number,166144.0,403,129,Queens,jackson heights,239990,1727841,157669,43858
elmhurst/corona,corona,56,90.0,elmhurst/corona,2016,Number,141167.0,404,56,Queens,corona,134033,620094,16006,8559
elmhurst/corona,corona,57,90.0,elmhurst/corona,2016,Number,141167.0,404,57,Queens,corona,5922,49978,909,293
ridgewood/glendale,glendale,102,90.0,ridgewood/glendale,2016,Number,192600.0,405,102,Queens,glendale,67370,513503,4750,2440
rego park/forest hills,forest hills,95,90.0,rego park/forest hills,2016,Number,111730.0,406,95,Queens,forest hills,129031,1329599,182178,16698
flushing,flushing,92,100.0,flushing,2016,Number,245864.0,407,92,Queens,flushing,201025,1103231,50896,6883
fresh meadows/briarwood,fresh meadows,98,90.0,fresh meadows/briarwood,2016,Number,166115.0,408,98,Queens,fresh meadows,20766,210524,2526,1922
woodhaven,woodhaven,258,100.0,woodhaven,2016,Number,164094.0,409,258,Queens,woodhaven,54602,628227,5858,3628
howard beach,howard beach,124,100.0,howard beach,2016,Number,135422.0,410,124,Queens,howard beach,22375,267762,3661,3569
bayside,bayside,16,100.0,bayside,2016,Number,117381.0,411,16,Queens,bayside,56883,461406,4854,2769
jamaica/st. albans,jamaica,130,90.0,jamaica/st. albans,2016,Number,243300.0,412,130,Queens,jamaica,108415,1343886,110395,17661
queens village,queens village,191,100.0,queens village,2016,Number,214163.0,413,191,Queens,queens village,42584,489462,9336,5123
the rockaways,,264,,the rockaways,2016,Number,127381.0,414,264,Unknown,,16865242,2382,11929,787156
st. george,saint george/new brighton,206,86.0,st. george,2016,Number,174943.0,501,206,Staten Island,saint george/new brighton,87545,364752,487,330
south beach,south beach/dongan hills,214,90.0,south beach,2016,Number,142815.0,502,214,Staten Island,south beach/dongan hills,18593,137147,118,240
tottenville,charleston/tottenville,44,90.0,tottenville,2016,Number,158257.0,503,44,Staten Island,charleston/tottenville,15693,66190,25,397
bronx,bronx park,31,90.0,bronx,2016,Number,1455720.0,36005,31,Bronx,bronx park,12047,93036,2351,619
brooklyn,brooklyn heights,33,90.0,brooklyn,2016,Number,2629150.0,36047,33,Brooklyn,brooklyn heights,108465,1165374,146314,84487
manhattan,manhattan beach,150,90.0,manhattan,2016,Number,1643734.0,36061,150,Brooklyn,manhattan beach,28614,288166,5582,1707
queens,long island city/queens plaza,146,90.0,queens,2016,Number,2333054.0,36081,146,Queens,long island city/queens plaza,61943,602956,28213,75691
staten island,governor's island/ellis island/liberty island,105,86.0,staten island,2016,Number,476015.0,36085,105,Manhattan,governor's island/ellis island/liberty island,23,65,1,118
new york city,east new york/pennsylvania avenue,77,86.0,new york city,2016,Number,8537673.0,3651000,77,Brooklyn,east new york/pennsylvania avenue,54543,594451,10362,4263
kingsbridge - riverdale,riverdale/north riverdale/fieldston,200,86.0,kingsbridge - riverdale,2016,Number,93622.6398,uhf101,200,Bronx,riverdale/north riverdale/fieldston,36980,391415,6126,2838
northeast bronx,bronx park,31,86.0,northeast bronx,2016,Number,203437.187,uhf102,31,Bronx,bronx park,12047,93036,2351,619
fordham - bronx park,bronx park,31,90.0,fordham - bronx park,2016,Number,263343.6674,uhf103,31,Bronx,bronx park,12047,93036,2351,619
pelham - throgs neck,pelham bay,183,86.0,pelham - throgs neck,2016,Number,306250.7349,uhf104,183,Bronx,pelham bay,20930,245435,4360,1409
crotona - tremont,,264,,crotona - tremont,2016,Number,217744.0836,uhf105,264,Unknown,,16865242,2382,11929,787156
high bridge - morrisania,highbridge,119,81.0,high bridge - morrisania,2016,Number,219904.5625,uhf106,119,Bronx,highbridge,83119,808319,12303,5157
hunts point - mott haven,hunts point,126,90.0,hunts point - mott haven,2016,Number,142202.6848,uhf107,126,Bronx,hunts point,54238,608626,7476,2454
greenpoint,greenpoint,112,100.0,greenpoint,2016,Number,137394.5355,uhf201,112,Brooklyn,greenpoint,168721,2001180,32694,24855
downtown  - heights - slope,arden heights,5,86.0,downtown  - heights - slope,2016,Number,258948.9001,uhf202,5,Staten Island,arden heights,8616,52190,72,393
bedford stuyvesant - crown heights,bedford,17,90.0,bedford stuyvesant - crown heights,2016,Number,331122.2269,uhf203,17,Brooklyn,bedford,187134,2071716,41662,16853
east new york,east new york,76,100.0,east new york,2016,Number,188424.7228,uhf204,76,Brooklyn,east new york,178985,2093773,41656,19623
sunset park,sunset park east,227,95.0,sunset park,2016,Number,127905.0602,uhf205,227,Brooklyn,sunset park east,58310,497088,6776,3211
borough park,borough park,26,100.0,borough park,2016,Number,340070.5843,uhf206,26,Brooklyn,borough park,102890,1065609,15046,7173
east flatbush - flatbush,east flatbush/farragut,71,95.0,east flatbush - flatbush,2016,Number,301715.0907,uhf207,71,Brooklyn,east flatbush/farragut,86477,922965,18237,7665
canarsie - flatlands,canarsie,39,90.0,canarsie - flatlands,2016,Number,208143.1819,uhf208,39,Brooklyn,canarsie,146173,1610372,26058,11762
bensonhurst - bay ridge,bay ridge,14,90.0,bensonhurst - bay ridge,2016,Number,205660.569,uhf209,14,Brooklyn,bay ridge,106173,1176998,20438,9025
coney island - sheepshead bay,coney island,55,90.0,coney island - sheepshead bay,2016,Number,290593.6834,uhf210,55,Brooklyn,coney island,47213,440761,26044,4074
williamsburg - bushwick,bushwick north,36,86.0,williamsburg - bushwick,2016,Number,221253.4453,uhf211,36,Brooklyn,bushwick north,200579,1950479,15110,7955
washington heights - inwood,inwood,127,90.0,washington heights - inwood,2016,Number,271834.1994,uhf301,127,Manhattan,inwood,72483,838342,18404,8761
central harlem - morningside heights,central harlem,41,90.0,central harlem - morningside heights,2016,Number,181325.1647,uhf302,41,Manhattan,central harlem,148752,1585162,341774,322815
east harlem,east harlem north,74,90.0,east harlem,2016,Number,114363.3106,uhf303,74,Manhattan,east harlem north,165358,1694788,468595,328911
upper west side,upper west side north,238,95.0,upper west side,2016,Number,216962.4132,uhf304,238,Manhattan,upper west side north,169896,1552500,868,1665383
upper east side,upper east side north,236,95.0,upper east side,2016,Number,219785.1591,uhf305,236,Manhattan,upper east side north,203313,1955678,13392,3293443
chelsea - clinton,,264,,chelsea - clinton,2016,Number,150382.9678,uhf306,264,Unknown,,16865242,2382,11929,787156
gramercy park -  murray hill,gramercy,107,90.0,gramercy park -  murray hill,2016,Number,131193.6723,uhf307,107,Manhattan,gramercy,226112,2191532,521,1899635
greenwich village - soho,soho,211,90.0,greenwich village - soho,2016,Number,84300.94552,uhf308,211,Manhattan,soho,136489,1427999,44,662188
union square - lower east side,lower east side,148,90.0,union square - lower east side,2016,Number,189254.0616,uhf309,148,Manhattan,lower east side,248540,2718879,191,1034964
lower manhattan,,264,,lower manhattan,2016,Number,60698.03981,uhf310,264,Unknown,,16865242,2382,11929,787156
long island city - astoria,astoria,7,90.0,long island city - astoria,2016,Number,212083.5947,uhf401,7,Queens,astoria,268194,2284990,250356,119932
west queens,lincoln square west,143,86.0,west queens,2016,Number,462978.9589,uhf402,143,Manhattan,lincoln square west,137050,1323677,302,984405
flushing - clearview,flushing,92,90.0,flushing - clearview,2016,Number,254749.5481,uhf403,92,Queens,flushing,201025,1103231,50896,6883
